IDA	IDB	neighborhood	fusion	cooccurence	coexpression	textmining	score	Label
YMR197C	YOR361C	0	0	0	0	0	0.081503	negative
YDL075W	YDR502C	0	0	0	0	0	-0.014653	negative
YMR158W	YNL081C	654	0	0	999	502	0.032621	positive
YJL081C	YNL138W	0	0	0	75	142	0.298600	negative
YDR496C	YHR174W	0	0	0	0	0	0.011534	negative
YHR193C	YPL037C	0	0	0	991	957	0.932215	positive
YHR200W	YPL271W	0	0	0	0	0	0.035225	negative
YMR260C	YNL138W	0	0	0	0	0	0.008136	negative
YMR260C	YMR314W	0	0	0	96	175	0.518664	negative
YIL094C	YLR075W	0	0	0	103	113	0.008626	negative
YDR439W	YPL231W	0	0	0	0	0	0.013992	negative
YDR346C	YHR051W	0	0	0	0	0	0.074399	negative
YER025W	YPL037C	0	0	0	143	108	0.043836	negative
YDL132W	YDR054C	0	0	0	0	994	0.002124	positive
YLR192C	YPR041W	0	0	0	159	876	-0.004957	positive
YBR181C	YDR148C	0	0	0	0	0	0.335523	negative
YBL041W	YML092C	0	0	0	990	558	0.672882	positive
YBR039W	YLR295C	0	0	0	655	535	0.093859	positive
YDL195W	YPL096W	0	0	0	0	0	0.040917	negative
YDR165W	YOR187W	0	0	0	0	0	0.009834	negative
YDL181W	YDR214W	0	0	0	0	0	0.047269	negative
YJL076W	YPR191W	0	0	0	0	0	-0.007562	negative
YEL051W	YPL235W	0	0	0	0	0	-0.001363	negative
YDR054C	YLR355C	0	0	0	0	0	-0.015103	negative
YJR045C	YOR261C	0	0	0	0	0	0.039882	negative
YDR035W	YOR332W	0	0	0	0	0	0.040569	negative
YML063W	YPL167C	0	0	0	0	0	-0.000461	negative
YPL106C	YPR182W	0	0	0	0	0	-0.007985	negative
YAL043C	YJL034W	0	0	0	0	0	-0.001373	negative
YGL125W	YJL124C	0	0	0	0	0	0.131963	negative
YHR200W	YLL018C	0	0	0	0	0	0.059807	negative
YEL026W	YER069W	0	0	0	0	0	0.040365	negative
YIL094C	YOL097C	0	0	0	124	125	0.010810	negative
YFR050C	YGR193C	0	0	0	0	0	0.009335	negative
YIL062C	YKL013C	0	0	0	756	974	0.787783	positive
YFR010W	YOR224C	0	0	0	0	0	0.176617	negative
YCR030C	YMR235C	0	0	0	0	0	0.000467	negative
YBL047C	YGR063C	0	0	0	0	0	0.126417	negative
YAL044C	YPL007C	0	0	0	0	0	0.000597	negative
Q0120	YLR333C	0	0	0	0	0	-0.007968	negative
YGR244C	YMR304W	0	0	0	0	0	0.022931	negative
Q0120	YPR055W	0	0	0	0	0	0.049605	negative
YGR167W	YOR224C	0	0	0	0	0	0.013959	negative
YOR323C	YPL085W	0	0	0	0	0	0.504498	negative
YMR038C	YPL195W	0	0	0	0	0	-0.004882	negative
YBL050W	YDR074W	0	0	0	0	0	0.003669	negative
YDR214W	YGL129C	0	0	0	0	0	0.270788	negative
YDR041W	YER091C	0	0	0	0	0	-0.008654	negative
YGL125W	YJL080C	0	0	0	0	0	0.143385	negative
YGR214W	YPR176C	0	0	0	0	0	-0.015284	negative
YCL014W	YLL034C	0	0	0	0	0	0.412125	negative
YGR083C	YJR089W	0	0	0	0	0	0.542796	negative
