@RELATION COFrac
@Attribute neighborhood NUMERIC
@Attribute fusion NUMERIC
@Attribute cooccurence NUMERIC
@Attribute coexpression NUMERIC
@Attribute textmining NUMERIC
@Attribute score NUMERIC
@ATTRIBUTE class {positive, negative}
@DATA
0,0,0,0,0,0.033824,negative
0,0,0,0,0,0.014691,negative
0,0,0,0,0,0.095140,negative
0,0,0,0,0,0.700726,negative
0,0,65,917,118,0.773267,positive
0,0,0,0,0,0.027796,negative
0,0,0,0,0,0.065880,negative
0,0,0,0,0,-0.012120,negative
0,0,0,0,0,0.009387,negative
0,0,0,0,0,0.270488,negative
0,0,0,66,128,-0.012307,negative
0,0,0,0,0,-0.009217,negative
0,0,0,0,0,-0.016118,negative
0,0,0,0,0,-0.009735,negative
0,0,0,0,0,0.433005,negative
0,0,0,0,0,-0.012314,negative
0,0,0,0,0,-0.006119,positive
0,0,0,0,294,-0.020239,positive
0,0,144,0,305,0.436275,positive
0,0,0,0,0,0.217956,negative
0,0,77,863,112,0.744351,positive
0,0,0,0,0,0.234228,negative
0,0,0,0,0,0.223488,negative
0,0,0,0,0,-0.004138,negative
0,0,0,0,0,0.314254,negative
0,0,0,0,0,-0.014722,negative
0,0,0,0,0,0.006405,negative
0,0,0,0,0,-0.010486,negative
0,0,0,0,0,-0.013411,negative
0,0,0,0,0,-0.004455,negative
0,0,0,0,0,0.072348,negative
0,0,0,0,0,0.234549,negative
0,0,0,0,0,0.564530,negative
0,0,0,0,0,-0.014757,negative
0,0,0,999,857,0.768946,positive
0,0,0,0,0,0.036403,negative
0,0,0,0,0,-0.007841,negative
194,0,0,477,903,0.164524,positive
0,0,0,0,0,0.326292,negative
0,0,0,0,0,0.069850,negative
0,0,0,0,0,0.024247,negative
0,0,0,0,0,0.454010,negative
0,0,0,0,0,0.120196,negative
0,0,0,0,0,-0.008013,negative
0,0,0,0,0,0.779979,negative
0,0,0,0,0,0.256369,negative
0,0,0,336,926,0.017001,positive
0,0,0,0,0,0.166825,negative
0,0,0,0,0,0.171624,negative
0,0,0,0,0,0.236935,negative
0,0,0,0,0,0.235885,negative
0,0,0,0,0,0.016348,negative
0,0,0,0,0,0.134331,negative
0,0,0,944,226,0.211329,positive
0,0,0,0,0,0.241709,negative
0,0,0,0,0,0.429404,positive
0,0,0,0,0,0.436392,negative
0,0,0,0,0,0.221465,negative
0,0,0,0,0,-0.018657,positive
0,0,0,0,0,0.165552,negative
0,0,0,0,0,0.004753,negative
0,0,0,0,0,-0.018372,negative
0,0,0,605,0,-0.008827,negative
0,0,0,0,0,0.023289,negative
0,0,0,0,0,-0.009346,negative
0,0,0,0,0,-0.006845,negative
0,0,0,0,156,0.146434,negative
0,0,0,0,663,0.027776,positive
