russel_U1 snRNP	LUC7
YNL075W	russel_Complex 131
YIL075C	russel_Complex 131
YML124C	russel_Complex 132
YMR064W	russel_Complex 133
YOL123W	russel_Complex 133
YPL081W	russel_Complex 133
YMR025W	russel_COP9 signalosome complex
YDR179C	russel_COP9 signalosome complex
YIL071C	russel_COP9 signalosome complex
YDL216C	russel_COP9 signalosome complex
YOL117W	russel_COP9 signalosome complex
YER086W	russel_Complex 135
YDL055C	russel_Complex 135
YGL238W	russel_Complex 136
YDR170C	russel_Complex 136
YFL039C	russel_Act1/Sac6 complex
YDR129C	russel_Act1/Sac6 complex
YDL075W	russel_Complex 138
YOR234C	russel_Complex 138
YDR091C	russel_Complex 139
YDL149W	russel_Complex 140
YNL301C	russel_Complex 140
YGL076C	russel_Complex 140
YPL048W	russel_Complex 141
YKL101W	russel_Complex 141
YDR314C	russel_Complex 141
YDR254W	russel_Ctf19 protein complex
YPL018W	russel_Ctf19 protein complex
YLR381W	russel_Ctf19 protein complex
YDR318W	russel_Ctf19 protein complex
YJR135C	russel_Ctf19 protein complex
YGR179C	russel_Ctf19 protein complex
YJR005W	russel_AP-2 complex
YOL062C	russel_AP-2 complex
YMR246W	russel_Complex 144
YPL206C	russel_Complex 144
YIL142W	russel_Chaperonine containing T-complex TRiC
YJL111W	russel_Chaperonine containing T-complex TRiC
YOR281C	russel_Chaperonine containing T-complex TRiC
YNL212W	russel_Chaperonine containing T-complex TRiC
YCR042C	russel_RNA polymerase II general trancription factor TFIID
YML114C	russel_RNA polymerase II general trancription factor TFIID
YJL020C	russel_Complex 147
YJL123C	russel_Complex 147
YGL094C	russel_PAN complex
YKL025C	russel_PAN complex
YDL149W	russel_Complex 150
YPL090C	russel_Complex 150
YPL049C	russel_Complex 151
YDR432W	russel_Complex 151
YBL017C	russel_Complex 151
YNR051C	russel_Bre5/Ubp3 complex
YER151C	russel_Bre5/Ubp3 complex
YOL069W	russel_Tid3 complex
YMR117C	russel_Tid3 complex
YER018C	russel_Tid3 complex
YKL191W	russel_Complex 154
YOR133W	russel_Complex 154
YIL103W	russel_Complex 154
YPR049C	russel_Complex 155
YLR423C	russel_Complex 155
YPL166W	russel_Complex 155
YFR030W	russel_Complex 156
YPR010C	russel_Complex 156
YDR365C	russel_Complex 157
YCL059C	russel_Complex 157
YNR043W	russel_Complex 157
YDL213C	russel_Complex 157
YGR034W	russel_Complex 157
YGR145W	russel_Complex 157
YPR180W	russel_Complex 158
YGR063C	russel_Complex 158
YPL160W	russel_Complex 159
YPL126W	russel_Complex 159
YMR093W	russel_Complex 159
YDR324C	russel_Complex 159
YOR234C	russel_Complex 160
YDR382W	russel_Complex 160
YLR221C	russel_Complex 160
YDR138W	russel_THO complex
YNL004W	russel_THO complex
YML062C	russel_THO complex
YDL084W	russel_THO complex
YNL253W	russel_THO complex
YHR167W	russel_THO complex
YOR217W	russel_Complex 162
YJR068W	russel_Complex 162
YNL288W	russel_Ccr4/Not protein complex
YAL021C	russel_Ccr4/Not protein complex
YCR093W	russel_Ccr4/Not protein complex
YNR052C	russel_Ccr4/Not protein complex
YBR084W	russel_Complex 164
YBL022C	russel_Complex 164
YML124C	russel_Complex 165
YMR012W	russel_Complex 166
YBR017C	russel_Complex 166
YLR226W	russel_Svg1/cyclin Bur2 protein complex
YPR161C	russel_Svg1/cyclin Bur2 protein complex
YMR205C	russel_Complex 168
YOR293W	russel_Complex 168
YJL190C	russel_Complex 168
YGR204W	russel_ Complex 169
YGL238W	russel_ Complex 169
YJL052W	russel_ Complex 169
YDR457W	russel_ Complex 169
YDR341C	russel_ Complex 169
YML075C	russel_Complex 170
YER095W	russel_Complex 170
YDR471W	russel_Complex 170
YGL195W	russel_Complex 171
YHR019C	russel_Complex 172
YNL137C	russel_Complex 173
YER036C	russel_Complex 174
YER172C	russel_Complex 175
YMR240C	russel_Complex 175
YPL213W	russel_Complex 175
YJL203W	russel_Complex 175
YDR473C	russel_Complex 175
YGR091W	russel_Complex 175
YPR178W	russel_Complex 175
YBR055C	russel_Complex 175
YHR165C	russel_Complex 175
YDL030W	russel_Complex 175
YER029C	russel_Complex 175
YKL173W	russel_Complex 175
YDL098C	russel_Complex 175
YOR308C	russel_Complex 175
YBR152W	russel_Complex 175
YBR084C-A	russel_Complex 176
YCR031C	russel_Complex 176
YBR181C	russel_Complex 176
YOR234C	russel_Complex 177
YDL083C	russel_Complex 177
YLR221C	russel_Complex 177
YGR281W	russel_Complex 177
YCL014W	russel_Complex 178
YDR164C	russel_Complex 178
YMR284W	russel_Ku complex
YMR106C	russel_Ku complex
YIL075C	russel_Complex 180
YPR066W	russel_Rubiquitin -activating complex
YPL003W	russel_Rubiquitin -activating complex
YKR068C	russel_TRAPPII complex
YML077W	russel_TRAPPII complex
YDR407C	russel_TRAPPII complex
YMR218C	russel_TRAPPII complex
YBR254C	russel_TRAPPII complex
YDR246W	russel_TRAPPII complex
YDR472W	russel_TRAPPII complex
YOR115C	russel_TRAPPII complex
YER155C	russel_Kel1/Lte1 complex
YHR158C	russel_Kel1/Lte1 complex
YAL024C	russel_Kel1/Lte1 complex
YPL061W	russel_Complex 185
YER089C	russel_Complex 185
YIL104C	russel_Complex 185
YPR035W	russel_Complex 186
YDR171W	russel_Complex 186
YPR057W	russel_ Complex 187
YDR225W	russel_ Complex 187
YML065W	russel_Origin of replication recognition complex
YBR060C	russel_Origin of replication recognition complex
YLL004W	russel_Origin of replication recognition complex
YPR162C	russel_Origin of replication recognition complex
YNL261W	russel_Origin of replication recognition complex
YHR118C	russel_Origin of replication recognition complex
YGL120C	russel_Complex 189
YNL224C	russel_Complex 189
YNL059C	russel_INO80 protein complex
YOR141C	russel_INO80 protein complex
YFL013C	russel_INO80 protein complex
YLR052W	russel_INO80 protein complex
YER092W	russel_INO80 protein complex
YGL150C	russel_INO80 protein complex
YDL002C	russel_INO80 protein complex
YMR109W	russel_Complex 191
YBR125C	russel_Complex 192
YDR186C	russel_Complex 192
YGR254W	russel_Complex 193
YDL040C	russel_Complex 193
YGR281W	russel_Complex 194
YDR155C	russel_Set3 histone deacetylase protein complex
YGL194C	russel_Set3 histone deacetylase protein complex
YIL112W	russel_Set3 histone deacetylase protein complex
YKR029C	russel_Set3 histone deacetylase protein complex
YBR103W	russel_Set3 histone deacetylase protein complex
YCR033W	russel_Set3 histone deacetylase protein complex
