ORF	Complex
YPL147W	Pxa1p/Pxa2p complex
YKL188C	Pxa1p/Pxa2p complex
YDR422C	Snf1p/Snf4p/Sip1p complex
YDR477W	Snf1p/Snf4p/Sip1p complex
YGL115W	Snf1p/Snf4p/Sip1p complex
YOR005C	DNA ligase IV
YGL090W	DNA ligase IV
YOR321W	Protein O-mannosyltransferase(Pmt3p/Pmt5p)
YDL093W	Protein O-mannosyltransferase(Pmt3p/Pmt5p)
YGR009C	SNARE complex
YPL232W	SNARE complex
YAL030W	SNARE complex
YBR126C	"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
YDR074W	"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
YMR261C	"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
YML100W	"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
YFL039C	Ino80p complex
YJL081C	Ino80p complex
YNL059C	Ino80p complex
YOR141C	Ino80p complex
YFL013C	Ino80p complex
YLR052W	Ino80p complex
YOR189W	Ino80p complex
YGL150C	Ino80p complex
YDL002C	Ino80p complex
YDR190C	Ino80p complex
YPL235W	Ino80p complex
YPL129W	Ino80p complex
YLL010C	Psr1p/Whi2p complex
YOR043W	Psr1p/Whi2p complex
YPL042C	Kornberg's mediator (SRB) complex
YNL025C	Kornberg's mediator (SRB) complex
YCR081W	Kornberg's mediator (SRB) complex
YDR443C	Kornberg's mediator (SRB) complex
YNR010W	Kornberg's mediator (SRB) complex
YOL051W	Kornberg's mediator (SRB) complex
YPR070W	Kornberg's mediator (SRB) complex
YMR112C	Kornberg's mediator (SRB) complex
YDL005C	Kornberg's mediator (SRB) complex
YOR174W	Kornberg's mediator (SRB) complex
YHR058C	Kornberg's mediator (SRB) complex
YOL135C	Kornberg's mediator (SRB) complex
YBR193C	Kornberg's mediator (SRB) complex
YGL151W	Kornberg's mediator (SRB) complex
YPR168W	Kornberg's mediator (SRB) complex
YGL025C	Kornberg's mediator (SRB) complex
YLR071C	Kornberg's mediator (SRB) complex
YBL093C	Kornberg's mediator (SRB) complex
YNL236W	Kornberg's mediator (SRB) complex
YHR041C	Kornberg's mediator (SRB) complex
YER022W	Kornberg's mediator (SRB) complex
YGR104C	Kornberg's mediator (SRB) complex
YBR253W	Kornberg's mediator (SRB) complex
YDR308C	Kornberg's mediator (SRB) complex
YGL127C	Kornberg's mediator (SRB) complex
YER072W	VTC heterotetrameric complex
YFL004W	VTC heterotetrameric complex
YPL019C	VTC heterotetrameric complex
YJL012C	VTC heterotetrameric complex
YJL002C	oligosaccharyl transferase complex
YOR103C	oligosaccharyl transferase complex
YOR085W	oligosaccharyl transferase complex
YDL232W	oligosaccharyl transferase complex
YGL226C-A	oligosaccharyl transferase complex
YML019W	oligosaccharyl transferase complex
YGL022W	oligosaccharyl transferase complex
YMR149W	oligosaccharyl transferase complex
YEL002C	oligosaccharyl transferase complex
YLR226W	Sgv1p/Bur2p complex
YPR161C	Sgv1p/Bur2p complex
YHR186C	TORC 1 complex
YNL006W	TORC 1 complex
YPL180W	TORC 1 complex
YJR066W	TORC 1 complex
YPR034W	SWI/SNF complex
YMR033W	SWI/SNF complex
YGR275W	SWI/SNF complex
YDR073W	SWI/SNF complex
YNR023W	SWI/SNF complex
YOR290C	SWI/SNF complex
YBR289W	SWI/SNF complex
YHL025W	SWI/SNF complex
YPL016W	SWI/SNF complex
YJL176C	SWI/SNF complex
YPL129W	SWI/SNF complex
YFL049W	SWI/SNF complex
YDR054C	SCF-CDC4 complex
YFL009W	SCF-CDC4 complex
YDL132W	SCF-CDC4 complex
YOR057W	SCF-CDC4 complex
YDR328C	SCF-CDC4 complex
