complexID	ORF
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_11	
complex_12	HAL5
complex_12	DIG1
complex_12	TLG2
complex_12	PTH2
complex_12	RGA2
complex_12	THR1
complex_12	RMA1
complex_12	SIR1
complex_12	YPL035C
complex_12	YBR168W
complex_12	KRE21
complex_12	YDR275W
complex_12	ECM29
complex_12	YEL057C
complex_12	RPN3
complex_12	STE12
complex_12	MRC1
complex_12	PRP5
complex_12	YDL199C
complex_12	CWH41
complex_12	ADE2
complex_12	YJL207C
complex_12	DBF4
complex_12	VPS45
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_12	
complex_13	RGA1
complex_13	SHE3
complex_13	YGR003W
complex_13	SHE2
complex_13	YLR356W
complex_13	SRC1
complex_13	YDR186C
complex_13	BUB1
complex_13	STT4
complex_13	SSH4
complex_13	TOF2
complex_13	MYO2
complex_13	ISM1
complex_13	RSB1
complex_13	GUT1
complex_13	YOL098C
complex_13	MEC3
complex_13	MLC1
complex_13	YMR071C
complex_13	SAT4
complex_13	MYO4
complex_13	SHE4
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_13	
complex_14	TUP1
complex_14	YDR330W
complex_14	TEM1
complex_14	YNL155W
complex_14	SHP1
complex_14	NDT80
complex_14	NPL4
complex_14	YDR049W
complex_14	BFA1
complex_14	CDC48
complex_14	YGL108C
complex_14	PET56
complex_14	YFL044C
complex_14	DOA1
complex_14	YOR342C
complex_14	YJR098C
complex_14	UFD1
complex_14	RDS2
complex_14	YMR067C
complex_14	YBR273C
complex_14	FBP1
complex_14	UFD2
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
