IDB	IDA
K12D12.1	F17E5.1
K12D12.5	C01B7.5
K12F2.1	C09H6.2
K12F2.1	C33B4.3
K12F2.1	C34F11.9
K12F2.1	F11C3.3
K12F2.2	K01A6.2
K12H4.8	C06G1.4
M01D1.2	F13D12.4
M01E11.7	B0336.6
M01E11.7	C33B4.3
M01E5.6	C18G1.4
M01E5.6	C32D5.9
M01G5.5	F30A10.8
M02A10.3	F49B2.5
M02G9.1	F44D12.1
M03B6.3	C34F11.9
M03D4.1	F40F12.5
M04B2.1	C53A5.3
M04B2.1	F41D9.1
M04B2.1	F59E10.2
M04F3.1	F18C5.2
M04G12.1	C34F11.9
M04G12.1	C34G6.7
M05B5.5	C28C12.8
M05D6.5	F18C5.4
M106.1	F35G12.8
M117.2	C46A5.9
M117.2	K01A6.2
M151.7	F47D12.4
M195.2	C09H6.2
M195.2	F35D2.5
M28.7	B0286.3
M28.7	C06G1.5
M28.7	C09G1.4
M28.7	C34E10.8
M28.7	K10C9.3
M7.1	F58B6.3
M79.1	B0336.6
M79.1	B0379.3
M79.1	B0457.1
M79.1	C08B11.5
M79.1	C26E6.2
M79.1	C27B7.4
M79.1	C39D10.7
M79.1	F23B12.5
M79.1	F25B5.7
M79.1	F29G6.3
M79.1	F32D8.7
M79.1	F44D12.1
M79.1	F46F6.1
M79.1	F59E12.9
MTCE.3	F47A4.3
Q9XWV0	A5A8P8
R01H10.3	C45G9.7
R01H10.5	C02F5.6
R01H10.8	B0454.8
R01H10.8	H28G03.3
R01H2.6	F25B5.4
R01H2.6	F58B6.3
R02F11.1	C52A11.4
R02F2.5	B0303.7
R02F2.5	C25F6.2
R02F2.5	C34G6.7
R02F2.5	F32A5.6
R02F2.5	F45E1.7
R02F2.5	F49B2.5
R02F2.5	K07D4.7
R03C1.1	C35B8.2
R03C1.1	F17E5.1
R03C1.1	K11D2.3
R03D7.4	F18C5.4
R03D7.6	K04C1.4
R03H10.4	K01A6.2
R04B5.4	C01B7.5
R04B5.4	C52A11.3
R04B5.4	K01A6.2
R04B5.8	F18C5.4
R05D11.8	C34F11.9
R05F9.1	C35D10.2
R05F9.1	C50D2.3
R05F9.1	F19C7.8
R05F9.1	F32A5.6
R05G6.5	F18C5.4
R06A4.7	C09G4.5
R06A4.7	F54C1.3
R06B10.4	C06A6.2
R06C1.3	F09E10.8
R06C1.3	F32A5.6
R06C1.3	F49B2.5
R06C7.7	C03B8.4
R06C7.7	K01G5.2
R06F6.12	C01B7.5
R06F6.12	C09D1.1
R06F6.12	C09H6.2
R06F6.12	C25G4.6
R06F6.12	C35D10.2
R06F6.12	C52A11.3
R06F6.12	C52A11.4
R06F6.12	F39H11.2
R06F6.12	M79.1
R07B7.2	C36C9.1
R07B7.2	F22B7.5
R07B7.2	F41H10.10
R07B7.3	F26B1.2
R08E3.3	F42H10.3
R09G11.2	K07D4.7
R09H10.3	C34F11.9
R107.8	F11C7.5
R10D12.14	F55B12.3
R10E11.1	C34E10.5
R10E11.1	F52B5.5
R10E11.3	C06E1.4
R10E12.1	B0303.7
R10E12.1	C14F5.5
R10E12.1	C26C6.8
R10E12.1	F32A5.6
R10E12.1	F46F3.4
R119.2	F19C7.8
R11A5.4	C09H6.2
R11A8.4	C46A5.9
R11A8.4	F52D10.3
R11A8.4	M117.2
R11A8.7	K01A6.2
R11A8.8	C29F4.1
R11A8.8	C55B7.4
R11A8.8	F11G11.12
R11A8.8	F27D9.6
R11A8.8	F31E8.3
R11A8.8	F32A6.4
R11A8.8	F54D5.12
R11A8.8	M05B5.1
R11A8.8	MTCE.26
R11H6.5	C09H6.2
R13A5.12	F53G12.8
R13F6.1	C23G10.8
R13G10.1	M106.1
R13H8.1	C46A5.9
R13H8.1	F49E2.2
R13H8.1	R11A8.4
R144.2	F46F3.4
R144.2	F49B2.5
R144.2	K07D4.7
R144.2	M79.1
R151.2	C45G9.7
R151.2	F28F5.3
R160.1	C07G1.5
R160.3	F54E7.3
R166.1	D1054.2
R166.1	F49B2.5
R31.1	C02C6.1
R31.1	C08B11.5
R31.1	C09G1.4
R31.1	C49H3.6
R31.1	F43B10.2
R31.1	F46F6.1
R31.1	K02C4.5
R31.1	K11E8.1
R31.1	R02F2.5
R53.4	F13B10.1
T01D3.6	H06H21.9
T01E8.3	B0286.3
T01G1.3	F09E10.8
T01G9.6	K01A6.2
T02E9.2	F54E7.3
T03E6.7	C09H6.2
T03F1.1	C03D6.6
T04C12.5	K01A6.2
T04C9.1	C09G1.4
T04C9.1	C31C9.6
T04C9.1	C56E6.3
T04C9.1	D1037.3
T04C9.1	F08F8.9
T04C9.1	F09C8.2
T04C9.1	F10C1.2
T04C9.1	F13G3.1
T04C9.1	F14F3.1
T04C9.1	F23C8.8
T04C9.1	F23H11.4
T04C9.1	F29G6.3
T04C9.1	F32D1.1
T04C9.1	F38E9.1
T04C9.1	F40H3.4
T04C9.1	F43C9.3
T04C9.1	M57.1
T04C9.1	T01D1.6
T04C9.1	T02H6.5
T04D1.3	B0547.1
T04D1.3	C02C6.1
T04D1.3	C02F4.1
T04D1.3	C07G1.4
T04D1.3	C08B11.5
T04D1.3	C25A11.4
T04D1.3	C32E8.10
T04D1.3	C39D10.7
T04D1.3	C44B9.4
T04D1.3	F13H6.1
T04D1.3	F22E12.1
T04D1.3	F23H11.4
T04D1.3	F29G6.3
T04D1.3	F34D10.4
T04D1.3	F41G4.2
T04D1.3	F42C5.10
T04D1.3	F43B10.2
T04D1.3	F46B3.17
T04D1.3	F57B10.1
T04D1.3	F57F4.3
T04D1.3	F59E12.9
T04D1.3	H14A12.2
T04D1.3	JC8.10
T04D1.3	K10B2.5
T04D1.3	M03F4.2
T04D1.3	M04G12.1
T04D1.3	R02F2.5
T04D1.3	R08E3.3
T04D1.3	R10E12.1
T04D1.3	R119.4
T04D1.3	R144.2
T04D3.1	F47A4.3
T04F3.1	R07E4.6
T04F8.7	F49E2.2
T04H1.2	C06A6.2
T04H1.2	C47E8.4
T05A1.2	R11A8.8
T05B11.3	C07G1.5
T05C12.6	B0001.2
T05C12.6	C16A11.2
T05C12.6	C25F6.2
T05C12.6	C28H8.12
T05C12.6	F12F6.1
T05C12.6	F18A1.2
T05C12.6	F22A3.1
T05C12.6	F32A5.6
T05C12.6	F54D5.5
T05C12.6	F55H12.6
T05C12.6	K02B12.4
T05C12.6	K08E3.5
T05C12.6	R04E5.10
T05F1.5	C03D6.6
T05G5.3	C52A11.4
T05G5.6	C14F5.5
T05G5.8	F55A11.2
T05G5.8	M03E7.5
T05H10.5	F25B5.4
T05H10.5	F30H5.1
T05H4.6	F47A4.3
T06D4.1	C14F5.5
T06D8.1	C01B7.5
T06E6.2	F54E7.3
T07A9.3	C55B7.1
T07A9.5	K12H4.8
T07A9.6	C09H6.2
T07A9.6	C34F11.9
T07A9.6	M03A1.1
T07C12.11	C09H6.2
T07C4.1	F56D12.4
T07D10.2	C27A2.6
T07F8.3	K07D4.7
T07G12.6	C01C10.2
T08G5.5	F17E5.1
T08G5.5	F46F3.4
T08H4.1	C52A11.4
T09A5.12	F45E1.7
T10A3.1	C29H12.6
T10A3.1	C47B2.5
T10A3.1	F47B10.1
T10A3.1	R148.3
T10C6.6	R01H10.8
T10F2.4	F39H11.5
T10H9.1	F17E5.1
T10H9.4	F56A8.7
T11B7.1	B0303.7
T11B7.1	C01B7.4
T11B7.1	C09D1.1
T11B7.1	C34G6.7
T11B7.1	F17E5.1
T11B7.1	F31E3.1
T11B7.1	F49B2.5
T11B7.1	F54E7.3
T11B7.1	F55C7.7
T11B7.1	F59C12.3
T11B7.4	C05D10.4
T11B7.4	C45G9.7
T11B7.4	F09E10.8
T11B7.4	F35B3.7
T11B7.4	F46F2.2
T11B7.4	F49B2.5
T11B7.4	K04H4.1
T11B7.4	R12A1.3
T11B7.4	R31.1
T11B7.4	T08D10.1
T12D8.1	K07D4.7
T12D8.8	C35B8.2
T12F5.3	T07A9.3
T12G3.1	B0218.3
T12G3.1	F08G12.2
T13F2.3	T04D1.3
T13F3.3	C52A11.3
T13H2.5	T11B7.1
T13H5.6	C09G1.4
T14G10.2	F37C4.5
T14G10.2	F45E1.7
T14G10.2	F52C6.3
T14G10.2	R06F6.12
T14G11.3	C35B8.2
T15H9.2	T05C12.6
T15H9.4	F17E9.5
T15H9.4	F37C4.5
T15H9.4	K12H4.7
T16A9.5	F54E7.3
T16G1.6	F47A4.3
T16G1.9	C33B4.3
T16H12.5	F55C7.7
T16H12.5	M79.1
T17H7.4	C08F11.7
T17H7.4	C14A4.9
T17H7.4	C17C3.4
T17H7.4	C27A7.1
T17H7.4	E04F6.10
T17H7.4	F09E10.8
T17H7.4	F28D1.10
T17H7.4	F32A5.6
T17H7.4	F35C8.5
T17H7.4	F49B2.5
T17H7.4	F59F3.6
T17H7.4	R31.1
T17H7.4	T04F3.4
T18D3.7	C01B10.3
T18D3.7	C25G4.6
T18D3.7	C34F11.9
T18D3.7	C50D2.3
T18D3.7	F08C6.3
T18D3.7	F41G4.1
T18D3.7	F43H9.2
T18D3.7	K08F4.7
T18D3.7	T07D4.2
T18H9.2	C09H6.2
T19B10.4	F37A4.9
T19B10.5	B0222.8
T19B10.5	R13A5.8
T19B10.7	F47D12.4
T19B4.2	C17E4.2
T19B4.5	F45E4.3
T19B4.7	C39F7.2
T19B4.7	F55C7.7
T19C3.8	C01F6.4
T19C3.8	F55B12.3
T19C3.8	R11A8.8
T19D12.5	F31E3.1
T19E7.2	C12D8.10
T19E7.2	F28H6.1
T19E7.2	K08E3.3
T19E7.3	B0025.1
T19E7.3	T07C4.8
T19H12.10	F18C5.4
T20B12.2	C36E8.4
T20B12.2	K08E3.3
T20B12.2	K10B3.10
T20B12.2	K11E4.4
T20B12.2	T05C12.6
T20B3.2	F54C1.7
T20B5.1	C07G1.5
T20F10.1	F45E1.7
T20F5.6	F29D10.4
T20F5.6	K07D4.7
T20G5.1	C07G1.5
T20G5.1	C10C6.1
T20G5.11	T04C9.1
T20G5.11	T19B10.4
T20H4.3	C01B7.5
T21B10.3	T04C9.1
T21B6.3	C52A11.4
T21B6.3	F30A10.8
T21B6.3	F31E3.1
T21B6.3	F32A5.6
T21B6.3	K01D12.4
T21C9.13	C34G6.7
T21E12.5	T17H7.4
T21G5.3	B0414.6
T21G5.3	F42G4.3
T21G5.3	T07A9.3
T21G5.4	C32F10.6
T21G5.4	C39D10.3
T21G5.4	F35G2.2
