Source	Windowsize	Entropy	Precision	Recall	Fmeasure	Auc_pr	Auc_roc
BNF	10	0.249365	0.556818181818	0.54613003096	0.551422319475	0.589296603809	0.72959752322
BNF	10	0.252756	0.555865921788	0.492879256966	0.522481128979	0.566632651296	0.707058823529
BNF	10	0.256353	0.526890756303	0.388235294118	0.447058823529	0.508543417367	0.659256965944
BNF	10	0.260055	0.51724137931	0.352941176471	0.41958041958	0.489012846518	0.643529411765
BNF	10	0.264051	0.521912350598	0.324458204334	0.40015273005	0.479480427105	0.632507739938
BNF	10	0.267809	0.503891050584	0.320743034056	0.391978811956	0.468921789482	0.628792569659
BNF	10	0.271442	0.502225519288	0.41919504644	0.456969287884	0.50911069566	0.668049535604
BNF	10	0.275166	0.5	0.407430340557	0.448993517571	0.503095975232	0.662972136223
BNF	10	0.278645	0.487091222031	0.175232198142	0.257741347905	0.399892360241	0.569164086687
BNF	10	0.282328	0.527958387516	0.251393188854	0.340604026846	0.452059689114	0.603219814241
BNF	10	0.285042	0.54776119403	0.227244582043	0.321225382932	0.451899172866	0.594860681115
BNF	10	0.287640	0.561643835616	0.177708978328	0.269990592662	0.438200658778	0.574984520124
BNF	10	0.291227	0.480434782609	0.136842105263	0.213012048193	0.380568268497	0.553622291022
BNF	10	0.294809	0.469827586207	0.0674922600619	0.1180292366	0.346368901463	0.52613003096
BNF	10	0.298157	0.494565217391	0.056346749226	0.101167315175	0.354093754206	0.522414860681
BNF	10	0.301691	0.593548387097	0.0569659442724	0.10395480226	0.403843336995	0.524582043344
BNF	10	0.305893	0.571428571429	0.0569659442724	0.103603603604	0.392783429161	0.524210526316
BNF	10	0.309882	0.301587301587	0.0117647058824	0.0226460071514	0.239028944911	0.503157894737
BNF	10	0.314607	0.472972972973	0.0216718266254	0.0414446417999	0.32884974758	0.508421052632
BNF	10	0.319882	0.375	0.00185758513932	0.00369685767098	0.271607327141	0.500619195046
