Source	Windowsize	Prot-prob	Precision	Recall	Fmeasure	Auc_pr	Auc_roc
all_0208	10	0.010550	0.567879325643	0.413436692506	0.478504672897	0.539538284699	0.675258397933
all_0208	10	0.010722	0.596321393998	0.397932816537	0.477334366525	0.547299370556	0.672028423773
all_0208	10	0.010946	0.583403185247	0.449612403101	0.507843852609	0.562373427249	0.692700258398
all_0208	10	0.011205	0.567641681901	0.401162790698	0.470098410295	0.534305337075	0.670025839793
all_0208	10	0.011481	0.59010989011	0.346899224806	0.436940602116	0.522929622058	0.649354005168
all_0208	10	0.011705	0.569089048106	0.359173126615	0.440396039604	0.517533326809	0.652390180879
all_0208	10	0.011963	0.576404494382	0.331395348837	0.420836751436	0.509616975873	0.641343669251
all_0208	10	0.012188	0.593394077449	0.336563307494	0.429513602638	0.520265083513	0.645219638243
all_0208	10	0.012394	0.590956887487	0.363049095607	0.449779911965	0.53008223358	0.656395348837
all_0208	10	0.012653	0.578088578089	0.320413436693	0.412302576891	0.505883221	0.636821705426
all_0208	10	0.012946	0.587544065805	0.322997416021	0.416840350146	0.511687622911	0.638824289406
all_0208	10	0.013239	0.578214578215	0.456072351421	0.509931383171	0.562470768866	0.69476744186
all_0208	10	0.013549	0.585261353899	0.441214470284	0.503130755064	0.559803372901	0.689341085271
all_0208	10	0.013894	0.583975346687	0.489664082687	0.532677442024	0.579347707797	0.709948320413
all_0208	10	0.014222	0.582560296846	0.405684754522	0.478293983244	0.54364879614	0.673772609819
all_0208	10	0.014601	0.598006644518	0.348837209302	0.440636474908	0.527685492802	0.650968992248
all_0208	10	0.015084	0.59324009324	0.328811369509	0.423108894431	0.516958117249	0.641860465116
all_0208	10	0.015566	0.560334528076	0.302971576227	0.393291404612	0.489738754133	0.627713178295
all_0208	10	0.016032	0.524407252441	0.242894056848	0.332008830022	0.446742816574	0.599418604651
all_0208	10	0.016445	0.530386740331	0.248062015504	0.338028169014	0.451885876626	0.602067183463
all_0208	10	0.016842	0.538283062645	0.299741602067	0.385062240664	0.47736719885	0.624160206718
all_0208	10	0.017256	0.537376586742	0.246124031008	0.337616304829	0.454573306291	0.601873385013
all_0208	10	0.017652	0.530612244898	0.235142118863	0.325872873769	0.446615338642	0.59677002584
all_0208	10	0.017962	0.568406205924	0.260335917313	0.35711120957	0.476009735176	0.610400516796
all_0208	10	0.018342	0.533642691415	0.297157622739	0.381742738589	0.473970355182	0.622609819121
all_0208	10	0.018669	0.542857142857	0.257751937984	0.349540078844	0.462158545589	0.607170542636
all_0208	10	0.018893	0.540880503145	0.277777777778	0.367050789586	0.469514325646	0.615310077519
all_0208	10	0.019100	0.559426229508	0.352713178295	0.43264659271	0.510010272377	0.64857881137
all_0208	10	0.019341	0.559378468368	0.325581395349	0.411596570029	0.498681482246	0.637144702842
all_0208	10	0.019600	0.541856925419	0.229974160207	0.322902494331	0.450084362795	0.595542635659
all_0208	10	0.019841	0.530054644809	0.31330749354	0.393828664231	0.478905444713	0.628875968992
all_0208	10	0.020117	0.529945553539	0.377260981912	0.440754716981	0.5054981859	0.655167958656
all_0208	10	0.020359	0.5204957102	0.352713178295	0.420485175202	0.490545012723	0.643863049096
all_0208	10	0.020617	0.508684863524	0.264857881137	0.34834324554	0.448033215569	0.60684754522
all_0208	10	0.020824	0.516949152542	0.275839793282	0.359730412805	0.456741156805	0.612144702842
all_0208	10	0.021048	0.523255813953	0.232558139535	0.322003577818	0.441860465116	0.595090439276
all_0208	10	0.021289	0.512131715771	0.381782945736	0.437453737972	0.498475418609	0.654521963824
all_0208	10	0.021548	0.5	0.166666666667	0.25	0.402777777778	0.566666666667
all_0208	10	0.021824	0.533068783069	0.260335917313	0.349826388889	0.458341023748	0.607364341085
all_0208	10	0.022082	0.530844155844	0.211240310078	0.302218114603	0.436772207121	0.586950904393
all_0208	10	0.022358	0.57487091222	0.215762273902	0.313762329732	0.460669736903	0.591925064599
all_0208	10	0.022617	0.476958525346	0.133720930233	0.208879919273	0.37752965027	0.552196382429
all_0208	10	0.022875	0.497630331754	0.203488372093	0.288858321871	0.416935320916	0.581201550388
all_0208	10	0.023168	0.531791907514	0.118863049096	0.194297782471	0.398755557547	0.548966408269
all_0208	10	0.023479	0.492227979275	0.0613695090439	0.109132682366	0.355017951739	0.524354005168
all_0208	10	0.023823	0.511627906977	0.0710594315245	0.124787294385	0.36875538329	0.528746770026
all_0208	10	0.024151	0.581395348837	0.0322997416021	0.0611995104039	0.387489233419	0.513824289406
all_0208	10	0.024479	0.479591836735	0.0303617571059	0.0571081409478	0.335779983828	0.51188630491
all_0208	10	0.024772	0.486486486486	0.046511627907	0.0849056603774	0.345956421538	0.51834625323
all_0208	10	0.025082	0.407407407407	0.00710594315245	0.0139682539683	0.289997846684	0.502519379845
all_0208	10	0.025392	0.43119266055	0.0303617571059	0.0567290283645	0.311580395736	0.511175710594
all_0208	10	0.025702	0.619047619048	0.0167958656331	0.0327044025157	0.399855420204	0.507364341085
all_0208	10	0.026064	0.528455284553	0.0839793281654	0.144927536232	0.382552362345	0.534496124031
all_0208	10	0.026495	0.46511627907	0.0387596899225	0.0715563506261	0.332041343669	0.51492248062
all_0208	10	0.026892	0.48167539267	0.0594315245478	0.105807935595	0.348934164897	0.523320413437
all_0208	10	0.027237	0.425742574257	0.0277777777778	0.0521528198908	0.307778694536	0.510142118863
all_0208	10	0.027737	0.192307692308	0.00322997416021	0.00635324015248	0.180833002054	0.500258397933
all_0208	10	0.028564	0.46835443038	0.0239018087855	0.0454824830977	0.327469635517	0.509237726098
all_0208	10	0.029495	0.272727272727	0.00193798449612	0.00384862091084	0.220504463237	0.500452196382
all_0208	10	0.030409	0.409090909091	0.00581395348837	0.0114649681529	0.290301268499	0.502067183463
all_0208	10	0.031339	0.541666666667	0.00839793281654	0.0165394402036	0.35766580534	0.503488372093
all_0208	10	0.032374	0.509090909091	0.0180878552972	0.0349344978166	0.345415394253	0.507299741602
all_0208	10	0.033339	0.368421052632	0.00904392764858	0.0176544766709	0.271312162836	0.502971576227
all_0208	100	0.012125	0.50101010101	0.320413436693	0.39085894405	0.46734398246	0.628294573643
all_0208	100	0.012401	0.50625	0.313953488372	0.387559808612	0.467272286822	0.626356589147
