#GeneName	Tissuespecficity
SERPINF2	Tissue enriched
SERPING1	Expressed in all
SERPINH1	Expressed in all
SERPINI1	Tissue enriched
SERPINI2	Tissue enriched
SERTAD1	Expressed in all
SERTAD2	Expressed in all
SERTAD3	Expressed in all
SERTM1	Group enriched
SESN1	Expressed in all
SESN2	Expressed in all
SESTD1	Expressed in all
SET	Expressed in all
SETD1A	Expressed in all
SETD1B	Expressed in all
SETD2	Expressed in all
SETD3	Expressed in all
SETD4	Expressed in all
SETD5	Expressed in all
SETD6	Expressed in all
SETD7	Expressed in all
SETD8	Expressed in all
SETD9	Expressed in all
SETDB1	Expressed in all
SETMAR	Expressed in all
SETX	Expressed in all
SEZ6	Tissue enriched
SEZ6L	Group enriched
SEZ6L2	Tissue enhanced
SF1	Expressed in all
SF3A1	Expressed in all
SF3A2	Expressed in all
SF3A3	Expressed in all
SF3B1	Expressed in all
SF3B14	Expressed in all
SF3B2	Expressed in all
SF3B3	Expressed in all
SF3B4	Expressed in all
SF3B5	Expressed in all
SFI1	Expressed in all
SFMBT1	Tissue enriched
SFN	Group enriched
SFPQ	Expressed in all
SFR1	Expressed in all
SFRP2	Tissue enhanced
SFRP4	Tissue enhanced
SFRP5	Tissue enhanced
SFSWAP	Expressed in all
SFT2D1	Expressed in all
SFT2D2	Expressed in all
SFT2D3	Tissue enhanced
SFTA2	Tissue enriched
SFTA3	Group enriched
SFTPA1	Tissue enriched
SFTPA2	Tissue enriched
SFTPB	Tissue enriched
SFTPC	Tissue enriched
SFTPD	Tissue enriched
SFXN1	Expressed in all
SFXN2	Tissue enhanced
SFXN3	Expressed in all
SFXN4	Expressed in all
SFXN5	Expressed in all
SGCA	Group enriched
SGCD	Tissue enhanced
SGCG	Group enriched
SGCZ	Tissue enhanced
SGIP1	Tissue enhanced
SGK1	Expressed in all
SGK2	Tissue enhanced
SGK3	Expressed in all
SGMS1	Expressed in all
SGMS2	Expressed in all
SGOL2	Tissue enhanced
SGPL1	Expressed in all
SGPP1	Expressed in all
SGSH	Expressed in all
SGSM1	Tissue enhanced
SGSM2	Expressed in all
SGSM3	Expressed in all
SGTA	Expressed in all
SGTB	Tissue enhanced
SH2B1	Expressed in all
SH2B2	Tissue enhanced
SH2B3	Expressed in all
SH2D1A	Tissue enhanced
SH2D1B	Tissue enhanced
SH2D2A	Tissue enhanced
SH2D3C	Expressed in all
SH2D5	Group enriched
SH2D6	Tissue enhanced
SH2D7	Tissue enhanced
SH3BGR	Group enriched
SH3BGRL	Expressed in all
SH3BGRL2	Expressed in all
SH3BGRL3	Expressed in all
SH3BP2	Expressed in all
SH3BP5	Expressed in all
SH3BP5L	Expressed in all
SH3GL1	Expressed in all
SH3GL2	Tissue enriched
SH3GL3	Group enriched
SH3GLB1	Expressed in all
SH3GLB2	Expressed in all
SH3KBP1	Expressed in all
SH3PXD2A	Expressed in all
SH3RF1	Expressed in all
SH3RF2	Group enriched
SH3RF3	Expressed in all
SH3TC1	Expressed in all
SH3TC2	Tissue enhanced
SH3YL1	Expressed in all
SHANK1	Group enriched
SHANK3	Tissue enhanced
SHARPIN	Expressed in all
SHB	Expressed in all
SHBG	Tissue enhanced
SHC1	Expressed in all
SHC3	Group enriched
SHC4	Tissue enhanced
SHCBP1	Tissue enhanced
SHCBP1L	Tissue enriched
SHD	Group enriched
SHFM1	Expressed in all
SHH	Tissue enhanced
SHISA2	Tissue enhanced
SHISA3	Tissue enhanced
SHISA4	Expressed in all
SHISA5	Expressed in all
SHISA6	Tissue enhanced
SHISA7	Tissue enriched
SHISA9	Tissue enhanced
SHKBP1	Expressed in all
SHMT1	Expressed in all
SHMT2	Expressed in all
SHOC2	Expressed in all
SHOX2	Tissue enhanced
SHPK	Expressed in all
SHPRH	Expressed in all
SHQ1	Expressed in all
SHROOM1	Tissue enhanced
SHROOM4	Tissue enhanced
SI	Group enriched
SIAE	Expressed in all
SIAH1	Expressed in all
SIAH2	Expressed in all
SIAH3	Tissue enriched
SIDT2	Expressed in all
SIGIRR	Expressed in all
SIGLEC10	Tissue enhanced
SIGLEC11	Group enriched
SIGLEC12	Tissue enhanced
SIGLEC14	Tissue enhanced
SIGLEC15	Tissue enhanced
SIGLEC5	Tissue enhanced
SIGLEC6	Tissue enriched
SIGLEC7	Tissue enhanced
SIGLEC9	Tissue enhanced
SIGLECL1	Tissue enriched
SIGMAR1	Expressed in all
SIK2	Expressed in all
SIK3	Expressed in all
SIKE1	Expressed in all
SIL1	Expressed in all
SIM1	Tissue enriched
SIM2	Tissue enhanced
SIMC1	Expressed in all
SIN3A	Expressed in all
SIN3B	Expressed in all
SIPA1	Expressed in all
SIPA1L1	Expressed in all
SIPA1L2	Expressed in all
SIPA1L3	Expressed in all
SIRPA	Expressed in all
SIRPB2	Tissue enhanced
SIRPD	Tissue enriched
SIRPG	Tissue enhanced
SIRT1	Expressed in all
SIRT2	Expressed in all
SIRT3	Expressed in all
SIRT5	Expressed in all
SIRT6	Expressed in all
SIRT7	Expressed in all
SIT1	Group enriched
SIVA1	Expressed in all
SIX1	Group enriched
SIX2	Tissue enhanced
SIX4	Tissue enhanced
SKA1	Tissue enhanced
SKA2	Expressed in all
SKA3	Tissue enhanced
SKAP2	Expressed in all
SKI	Expressed in all
SKIDA1	Tissue enhanced
SKIL	Expressed in all
SKIV2L	Expressed in all
SKIV2L2	Expressed in all
SKP1	Expressed in all
SKP2	Expressed in all
SLAIN1	Expressed in all
SLAIN2	Expressed in all
SLAMF1	Tissue enhanced
SLAMF6	Tissue enhanced
SLAMF8	Tissue enhanced
SLBP	Expressed in all
SLC10A1	Tissue enriched
SLC10A2	Group enriched
SLC10A3	Expressed in all
SLC10A4	Tissue enhanced
SLC10A5	Tissue enhanced
SLC10A6	Group enriched
SLC10A7	Expressed in all
SLC11A1	Tissue enhanced
SLC11A2	Expressed in all
SLC12A1	Tissue enriched
SLC12A2	Expressed in all
SLC12A3	Tissue enriched
SLC12A4	Expressed in all
SLC12A5	Tissue enriched
SLC12A6	Expressed in all
SLC12A7	Expressed in all
SLC12A8	Tissue enhanced
SLC12A9	Expressed in all
SLC13A1	Tissue enhanced
SLC13A2	Group enriched
SLC13A3	Tissue enriched
SLC13A4	Tissue enriched
SLC13A5	Group enriched
SLC14A1	Tissue enhanced
SLC14A2	Tissue enhanced
SLC15A1	Group enriched
SLC15A2	Tissue enhanced
SLC15A3	Expressed in all
SLC15A4	Expressed in all
SLC16A1	Expressed in all
SLC16A11	Tissue enhanced
SLC16A12	Tissue enriched
SLC16A13	Tissue enhanced
SLC16A3	Expressed in all
SLC16A4	Tissue enhanced
SLC16A6	Tissue enhanced
SLC16A8	Tissue enhanced
SLC16A9	Tissue enhanced
SLC17A1	Group enriched
SLC17A2	Tissue enriched
SLC17A3	Group enriched
SLC17A4	Group enriched
SLC17A5	Expressed in all
SLC17A6	Tissue enriched
SLC17A7	Tissue enriched
SLC17A8	Tissue enriched
SLC18A1	Tissue enriched
SLC18A2	Expressed in all
SLC18B1	Expressed in all
SLC19A1	Expressed in all
SLC19A2	Expressed in all
SLC19A3	Tissue enhanced
SLC1A1	Tissue enhanced
SLC1A2	Tissue enriched
SLC1A3	Tissue enriched
SLC1A4	Expressed in all
SLC1A5	Expressed in all
SLC1A6	Group enriched
SLC1A7	Tissue enhanced
SLC20A1	Expressed in all
SLC20A2	Expressed in all
SLC22A1	Tissue enriched
SLC22A10	Tissue enriched
SLC22A11	Group enriched
SLC22A12	Tissue enriched
SLC22A13	Tissue enriched
SLC22A14	Tissue enriched
SLC22A15	Tissue enhanced
SLC22A16	Group enriched
SLC22A17	Tissue enhanced
SLC22A18	Tissue enhanced
SLC22A18AS	Tissue enhanced
SLC22A2	Tissue enriched
SLC22A23	Expressed in all
SLC22A24	Tissue enriched
SLC22A25	Tissue enriched
SLC22A3	Tissue enhanced
SLC22A31	Group enriched
SLC22A4	Tissue enhanced
SLC22A5	Expressed in all
SLC22A6	Tissue enriched
SLC22A7	Group enriched
SLC22A8	Tissue enriched
SLC22A9	Tissue enriched
SLC23A1	Tissue enhanced
SLC23A2	Expressed in all
SLC23A3	Group enriched
SLC24A2	Group enriched
SLC24A4	Tissue enhanced
SLC24A5	Group enriched
SLC25A1	Expressed in all
SLC25A10	Expressed in all
SLC25A11	Expressed in all
SLC25A12	Expressed in all
SLC25A13	Expressed in all
SLC25A14	Expressed in all
SLC25A15	Tissue enhanced
SLC25A16	Expressed in all
SLC25A17	Expressed in all
SLC25A18	Group enriched
SLC25A19	Expressed in all
SLC25A2	Tissue enriched
SLC25A20	Expressed in all
SLC25A22	Tissue enhanced
SLC25A24	Expressed in all
SLC25A25	Expressed in all
SLC25A26	Expressed in all
SLC25A28	Expressed in all
SLC25A29	Expressed in all
SLC25A3	Expressed in all
SLC25A30	Expressed in all
SLC25A31	Tissue enriched
SLC25A32	Expressed in all
SLC25A34	Tissue enhanced
SLC25A36	Expressed in all
SLC25A37	Expressed in all
SLC25A38	Expressed in all
SLC25A39	Expressed in all
SLC25A4	Group enriched
SLC25A40	Expressed in all
SLC25A41	Tissue enriched
SLC25A42	Expressed in all
SLC25A43	Expressed in all
SLC25A44	Expressed in all
SLC25A45	Expressed in all
SLC25A46	Expressed in all
SLC25A47	Tissue enriched
SLC25A48	Tissue enhanced
SLC25A5	Expressed in all
SLC25A51	Expressed in all
SLC25A52	Tissue enriched
SLC25A53	Expressed in all
SLC25A6	Expressed in all
SLC26A1	Tissue enhanced
SLC26A11	Expressed in all
SLC26A2	Group enriched
SLC26A3	Group enriched
SLC26A4	Tissue enriched
SLC26A6	Expressed in all
SLC26A7	Tissue enriched
SLC26A8	Tissue enriched
SLC26A9	Tissue enhanced
SLC27A1	Expressed in all
SLC27A2	Group enriched
SLC27A3	Expressed in all
SLC27A4	Expressed in all
SLC27A5	Tissue enriched
SLC27A6	Tissue enhanced
SLC28A1	Group enriched
SLC28A2	Tissue enhanced
SLC28A3	Tissue enhanced
SLC29A1	Expressed in all
SLC29A2	Tissue enriched
SLC29A4	Tissue enriched
SLC2A1	Tissue enhanced
SLC2A11	Expressed in all
SLC2A12	Tissue enhanced
SLC2A13	Tissue enhanced
SLC2A14	Tissue enriched
SLC2A2	Tissue enriched
SLC2A3	Expressed in all
SLC2A4	Tissue enhanced
SLC2A4RG	Expressed in all
SLC2A5	Tissue enhanced
SLC2A7	Group enriched
SLC2A8	Expressed in all
SLC2A9	Tissue enhanced
SLC30A10	Tissue enhanced
SLC30A2	Group enriched
SLC30A3	Group enriched
SLC30A4	Tissue enhanced
SLC30A5	Expressed in all
SLC30A6	Expressed in all
SLC30A8	Tissue enriched
SLC30A9	Expressed in all
SLC31A1	Expressed in all
SLC31A2	Tissue enriched
SLC32A1	Tissue enriched
SLC33A1	Expressed in all
SLC34A1	Tissue enriched
SLC34A2	Tissue enriched
SLC34A3	Group enriched
SLC35A1	Expressed in all
SLC35A2	Expressed in all
SLC35A3	Expressed in all
SLC35A4	Expressed in all
SLC35A5	Expressed in all
SLC35B1	Expressed in all
SLC35B2	Expressed in all
SLC35B3	Expressed in all
SLC35C1	Expressed in all
SLC35C2	Expressed in all
SLC35D1	Expressed in all
SLC35D2	Expressed in all
SLC35D3	Tissue enhanced
SLC35E1	Expressed in all
SLC35E2	Expressed in all
SLC35E2B	Expressed in all
SLC35E3	Expressed in all
SLC35E4	Tissue enhanced
SLC35F1	Tissue enriched
SLC35F3	Tissue enhanced
SLC35F4	Tissue enhanced
SLC35F5	Expressed in all
SLC35F6	Expressed in all
SLC35G1	Group enriched
SLC35G3	Tissue enriched
SLC35G6	Tissue enriched
SLC36A1	Expressed in all
SLC36A2	Group enriched
SLC36A3	Tissue enriched
SLC37A1	Expressed in all
SLC37A2	Tissue enhanced
SLC37A3	Expressed in all
SLC37A4	Expressed in all
SLC38A1	Expressed in all
SLC38A10	Expressed in all
SLC38A11	Tissue enhanced
SLC38A2	Expressed in all
SLC38A4	Tissue enriched
SLC38A5	Tissue enhanced
SLC38A6	Expressed in all
SLC38A7	Expressed in all
SLC38A9	Expressed in all
SLC39A1	Expressed in all
SLC39A10	Expressed in all
SLC39A11	Expressed in all
SLC39A12	Tissue enriched
SLC39A13	Expressed in all
SLC39A2	Group enriched
SLC39A3	Expressed in all
SLC39A4	Expressed in all
SLC39A5	Group enriched
SLC39A6	Expressed in all
SLC39A7	Expressed in all
SLC39A8	Tissue enhanced
SLC39A9	Expressed in all
SLC3A1	Tissue enhanced
SLC3A2	Expressed in all
SLC40A1	Expressed in all
SLC41A1	Expressed in all
SLC41A3	Expressed in all
SLC43A1	Expressed in all
SLC43A2	Expressed in all
SLC43A3	Expressed in all
SLC44A1	Expressed in all
SLC44A2	Expressed in all
SLC45A1	Tissue enhanced
SLC45A2	Tissue enhanced
SLC45A3	Tissue enriched
SLC46A1	Expressed in all
SLC46A2	Group enriched
SLC46A3	Expressed in all
SLC47A1	Tissue enhanced
SLC47A2	Group enriched
SLC48A1	Expressed in all
SLC4A1	Group enriched
SLC4A10	Tissue enriched
SLC4A11	Tissue enhanced
SLC4A1AP	Expressed in all
SLC4A2	Expressed in all
SLC4A3	Group enriched
SLC4A4	Tissue enhanced
SLC4A5	Group enriched
SLC4A7	Expressed in all
SLC4A8	Tissue enhanced
SLC4A9	Tissue enriched
SLC50A1	Expressed in all
SLC51A	Expressed in all
SLC51B	Tissue enhanced
SLC52A1	Group enriched
SLC52A2	Expressed in all
SLC52A3	Tissue enhanced
SLC5A1	Group enriched
SLC5A10	Tissue enriched
SLC5A11	Group enriched
SLC5A12	Group enriched
SLC5A2	Tissue enriched
SLC5A3	Tissue enhanced
SLC5A4	Group enriched
SLC5A5	Group enriched
SLC5A6	Expressed in all
SLC5A8	Tissue enriched
SLC5A9	Group enriched
SLC6A1	Group enriched
SLC6A11	Tissue enhanced
SLC6A12	Tissue enhanced
SLC6A13	Tissue enriched
SLC6A14	Tissue enhanced
SLC6A15	Tissue enhanced
SLC6A16	Tissue enriched
SLC6A17	Tissue enriched
SLC6A18	Tissue enriched
SLC6A19	Group enriched
SLC6A2	Group enriched
SLC6A20	Tissue enhanced
SLC6A4	Group enriched
SLC6A5	Tissue enriched
SLC6A6	Expressed in all
SLC6A7	Group enriched
SLC6A8	Expressed in all
SLC6A9	Tissue enhanced
SLC7A10	Tissue enriched
SLC7A11	Tissue enhanced
SLC7A13	Tissue enriched
SLC7A14	Tissue enriched
SLC7A2	Tissue enhanced
SLC7A3	Tissue enhanced
SLC7A4	Tissue enhanced
SLC7A5	Expressed in all
SLC7A6	Expressed in all
SLC7A6OS	Expressed in all
SLC7A7	Expressed in all
SLC7A8	Tissue enhanced
SLC7A9	Group enriched
SLC8A1	Tissue enhanced
SLC8A2	Tissue enriched
SLC8A3	Group enriched
SLC8B1	Expressed in all
SLC9A1	Expressed in all
SLC9A2	Tissue enhanced
SLC9A3	Group enriched
SLC9A3R1	Expressed in all
SLC9A4	Group enriched
SLC9A5	Tissue enhanced
SLC9A6	Expressed in all
SLC9A8	Expressed in all
SLC9B1	Tissue enriched
SLC9C1	Tissue enriched
SLC9C2	Tissue enriched
SLCO1A2	Tissue enhanced
SLCO1B1	Tissue enriched
SLCO1B3	Tissue enriched
SLCO1C1	Tissue enriched
SLCO2B1	Expressed in all
SLCO3A1	Expressed in all
SLCO4C1	Tissue enriched
SLCO5A1	Tissue enhanced
SLCO6A1	Tissue enriched
SLFN11	Expressed in all
SLFN14	Tissue enriched
SLFN5	Expressed in all
SLFNL1	Tissue enriched
SLIRP	Expressed in all
SLIT1	Tissue enriched
SLITRK1	Tissue enriched
SLITRK2	Tissue enhanced
SLITRK3	Tissue enhanced
SLITRK4	Tissue enhanced
SLITRK5	Tissue enhanced
SLITRK6	Tissue enhanced
SLK	Expressed in all
SLMAP	Expressed in all
SLMO2	Expressed in all
SLN	Tissue enriched
SLPI	Expressed in all
SLTM	Expressed in all
SLU7	Expressed in all
SLURP1	Group enriched
SLX1A	Expressed in all
SLX1B	Expressed in all
SMAD1	Expressed in all
SMAD2	Expressed in all
SMAD3	Expressed in all
SMAD4	Expressed in all
SMAD5	Expressed in all
SMAD6	Tissue enhanced
SMAD7	Expressed in all
SMAD9	Tissue enhanced
SMAGP	Expressed in all
SMAP1	Expressed in all
SMAP2	Expressed in all
SMARCA2	Expressed in all
SMARCA4	Expressed in all
SMARCA5	Expressed in all
SMARCAD1	Expressed in all
SMARCAL1	Expressed in all
SMARCB1	Expressed in all
SMARCC1	Expressed in all
SMARCC2	Expressed in all
SMARCD1	Expressed in all
SMARCD2	Expressed in all
SMARCD3	Expressed in all
SMARCE1	Expressed in all
SMC1A	Expressed in all
SMC1B	Tissue enriched
SMC3	Expressed in all
SMC4	Expressed in all
SMC5	Expressed in all
SMC6	Expressed in all
SMCHD1	Expressed in all
SMCO1	Group enriched
SMCO3	Tissue enhanced
SMCO4	Expressed in all
SMCP	Tissue enriched
SMCR8	Expressed in all
SMDT1	Expressed in all
SMEK1	Expressed in all
SMEK2	Expressed in all
SMG1	Expressed in all
SMG5	Expressed in all
SMG6	Expressed in all
SMG7	Expressed in all
SMG8	Expressed in all
SMG9	Expressed in all
SMIM1	Tissue enhanced
SMIM11	Expressed in all
SMIM12	Expressed in all
SMIM13	Expressed in all
SMIM14	Expressed in all
SMIM15	Expressed in all
SMIM17	Tissue enriched
SMIM18	Tissue enriched
SMIM19	Expressed in all
SMIM2	Tissue enriched
SMIM20	Expressed in all
SMIM21	Tissue enriched
SMIM23	Tissue enriched
SMIM3	Tissue enhanced
SMIM4	Expressed in all
SMIM6	Tissue enhanced
SMIM7	Expressed in all
SMIM8	Expressed in all
SMKR1	Tissue enriched
SMLR1	Group enriched
SMN1	Expressed in all
SMN2	Expressed in all
SMNDC1	Expressed in all
SMOC1	Tissue enhanced
SMOX	Expressed in all
SMPD1	Expressed in all
SMPD3	Tissue enhanced
SMPD4	Expressed in all
SMPDL3A	Expressed in all
SMPX	Group enriched
SMR3A	Tissue enriched
SMR3B	Tissue enriched
SMS	Expressed in all
SMTN	Expressed in all
SMTNL1	Tissue enriched
SMTNL2	Tissue enriched
SMU1	Expressed in all
SMUG1	Expressed in all
SMURF1	Expressed in all
SMURF2	Expressed in all
SMYD1	Group enriched
SMYD2	Expressed in all
SMYD3	Expressed in all
SMYD4	Expressed in all
SMYD5	Expressed in all
SNAI1	Tissue enhanced
SNAI3	Tissue enhanced
SNAP23	Expressed in all
SNAP25	Tissue enriched
SNAP29	Expressed in all
SNAP47	Expressed in all
SNAP91	Group enriched
SNAPC1	Expressed in all
SNAPC2	Expressed in all
SNAPC3	Expressed in all
SNAPC4	Expressed in all
SNAPC5	Expressed in all
SNAPIN	Expressed in all
SNCA	Tissue enhanced
SNCAIP	Tissue enhanced
SNCB	Tissue enriched
SNCG	Tissue enhanced
SND1	Expressed in all
SNF8	Expressed in all
SNIP1	Expressed in all
SNN	Expressed in all
SNPH	Tissue enhanced
SNRK	Expressed in all
SNRNP200	Expressed in all
SNRNP25	Expressed in all
SNRNP27	Expressed in all
SNRNP35	Expressed in all
SNRNP40	Expressed in all
SNRNP48	Expressed in all
SNRNP70	Expressed in all
SNRPA	Expressed in all
SNRPA1	Expressed in all
SNRPB	Expressed in all
SNRPB2	Expressed in all
SNRPC	Expressed in all
SNRPD1	Expressed in all
SNRPD2	Expressed in all
SNRPD3	Expressed in all
SNRPE	Expressed in all
SNRPF	Expressed in all
SNRPG	Expressed in all
SNRPN	Expressed in all
SNTA1	Expressed in all
SNTB1	Expressed in all
SNTB2	Expressed in all
SNTG1	Tissue enhanced
SNTG2	Tissue enhanced
SNTN	Tissue enriched
SNUPN	Expressed in all
SNURF	Expressed in all
SNW1	Expressed in all
SNX1	Expressed in all
SNX11	Expressed in all
SNX12	Expressed in all
SNX13	Expressed in all
SNX14	Expressed in all
SNX15	Expressed in all
SNX16	Expressed in all
SNX17	Expressed in all
SNX18	Expressed in all
SNX19	Expressed in all
SNX2	Expressed in all
SNX20	Tissue enhanced
SNX21	Expressed in all
SNX22	Tissue enhanced
SNX24	Expressed in all
SNX25	Expressed in all
SNX27	Expressed in all
SNX29	Expressed in all
SNX3	Expressed in all
SNX30	Expressed in all
SNX31	Group enriched
SNX32	Tissue enhanced
SNX4	Expressed in all
SNX5	Expressed in all
SNX6	Expressed in all
SNX8	Expressed in all
SNX9	Expressed in all
SOAT1	Tissue enriched
SOAT2	Group enriched
SOCS2	Expressed in all
SOCS4	Expressed in all
SOCS5	Expressed in all
SOCS6	Expressed in all
SOCS7	Tissue enriched
SOD1	Expressed in all
SOD2	Expressed in all
SOD3	Tissue enhanced
SOGA3	Tissue enhanced
SOGA3	Tissue enriched
SOHLH1	Group enriched
SOHLH2	Tissue enriched
SON	Expressed in all
SORBS1	Expressed in all
SORBS2	Tissue enhanced
SORBS3	Expressed in all
SORCS1	Tissue enhanced
SORCS3	Tissue enhanced
SORD	Group enriched
SORT1	Expressed in all
SOS1	Expressed in all
SOS2	Expressed in all
SOST	Tissue enriched
SOSTDC1	Tissue enhanced
SOWAHA	Tissue enhanced
SOX1	Tissue enhanced
SOX10	Tissue enhanced
SOX11	Tissue enriched
SOX14	Tissue enhanced
SOX15	Tissue enhanced
SOX17	Tissue enhanced
SOX18	Tissue enhanced
SOX2	Tissue enhanced
SOX21	Tissue enhanced
SOX3	Tissue enriched
SOX30	Tissue enriched
SOX4	Expressed in all
SOX5	Tissue enhanced
SOX8	Tissue enriched
SP1	Expressed in all
SP100	Expressed in all
SP110	Expressed in all
SP140	Tissue enhanced
SP140L	Expressed in all
SP2	Expressed in all
SP3	Expressed in all
SP4	Expressed in all
SP6	Tissue enhanced
SP8	Tissue enriched
SPA17	Group enriched
SPACA1	Tissue enriched
SPACA3	Group enriched
SPACA4	Tissue enriched
SPACA5	Tissue enriched
SPACA5B	Tissue enriched
SPACA7	Tissue enriched
SPAG16	Expressed in all
SPAG17	Tissue enhanced
SPAG4	Tissue enhanced
SPAG5	Tissue enhanced
SPAG6	Group enriched
SPAG7	Expressed in all
SPAG8	Group enriched
SPAG9	Expressed in all
SPAM1	Tissue enriched
SPANXA1	Tissue enriched
SPANXA2	Tissue enriched
SPANXB1	Tissue enriched
SPANXB2	Tissue enriched
SPANXC	Tissue enriched
SPANXD	Tissue enriched
SPANXN2	Tissue enriched
SPANXN3	Tissue enriched
SPANXN4	Tissue enriched
SPANXN5	Tissue enriched
SPARC	Expressed in all
SPAST	Expressed in all
SPATA12	Tissue enriched
SPATA13	Expressed in all
SPATA16	Tissue enriched
SPATA17	Group enriched
SPATA18	Group enriched
SPATA19	Tissue enriched
SPATA2	Expressed in all
SPATA20	Expressed in all
SPATA21	Tissue enriched
SPATA22	Tissue enriched
SPATA24	Tissue enriched
SPATA25	Tissue enhanced
SPATA3	Tissue enriched
SPATA31A1	Tissue enriched
SPATA31A2	Tissue enriched
SPATA31A3	Tissue enriched
SPATA31A4	Tissue enriched
SPATA31A5	Tissue enriched
SPATA31A6	Tissue enriched
SPATA31A7	Tissue enriched
SPATA31D1	Tissue enriched
SPATA31E1	Tissue enriched
SPATA32	Tissue enriched
SPATA33	Group enriched
SPATA4	Tissue enriched
SPATA5L1	Expressed in all
SPATA6	Tissue enriched
SPATA6L	Tissue enhanced
SPATA7	Expressed in all
SPATA8	Tissue enriched
SPATA9	Tissue enriched
SPATC1	Group enriched
SPATS1	Group enriched
SPATS2	Expressed in all
SPATS2L	Expressed in all
SPC24	Tissue enhanced
SPCS1	Expressed in all
SPCS2	Expressed in all
SPCS3	Expressed in all
SPDEF	Tissue enhanced
SPDL1	Tissue enhanced
SPDYA	Tissue enriched
SPDYE1	Tissue enriched
SPDYE2	Tissue enhanced
SPDYE2B	Tissue enhanced
SPDYE4	Tissue enriched
SPECC1	Expressed in all
SPECC1L	Expressed in all
SPEF1	Group enriched
SPEG	Tissue enhanced
SPEM1	Tissue enriched
SPEN	Expressed in all
SPERT	Tissue enriched
SPESP1	Tissue enriched
SPG11	Expressed in all
SPG20	Expressed in all
SPG21	Expressed in all
SPG7	Expressed in all
SPHK2	Expressed in all
SPHKAP	Group enriched
SPI1	Expressed in all
SPIB	Tissue enhanced
SPIC	Tissue enriched
SPIDR	Expressed in all
SPIN1	Expressed in all
SPIN2B	Expressed in all
SPINK1	Tissue enriched
SPINK13	Tissue enhanced
SPINK2	Tissue enriched
SPINK4	Group enriched
SPINK5	Group enriched
SPINK7	Group enriched
SPINK8	Tissue enhanced
SPINT2	Expressed in all
SPN	Tissue enhanced
SPNS1	Expressed in all
SPNS2	Tissue enhanced
SPNS3	Tissue enriched
SPO11	Tissue enriched
SPOCD1	Tissue enhanced
SPOCK1	Tissue enhanced
SPOCK2	Expressed in all
SPOCK3	Group enriched
SPON2	Expressed in all
SPOP	Expressed in all
SPOPL	Expressed in all
SPP1	Group enriched
SPP2	Tissue enriched
SPPL2A	Expressed in all
SPPL2C	Tissue enriched
SPPL3	Expressed in all
SPRED2	Expressed in all
SPRN	Tissue enriched
SPRR1A	Group enriched
SPRR1B	Group enriched
SPRR2A	Group enriched
SPRR2B	Tissue enriched
SPRR2D	Group enriched
SPRR2E	Group enriched
SPRR2F	Group enriched
SPRR2G	Tissue enriched
SPRR3	Group enriched
SPRR4	Tissue enriched
SPRTN	Expressed in all
SPRY1	Expressed in all
SPRY2	Expressed in all
SPRYD3	Expressed in all
SPRYD4	Expressed in all
SPRYD7	Expressed in all
SPSB2	Expressed in all
SPSB3	Expressed in all
SPSB4	Tissue enhanced
SPTA1	Tissue enriched
SPTAN1	Expressed in all
SPTB	Group enriched
SPTBN1	Expressed in all
SPTBN2	Tissue enhanced
SPTBN4	Tissue enhanced
SPTLC1	Expressed in all
SPTLC2	Expressed in all
SPTLC3	Tissue enhanced
SPTSSA	Expressed in all
SPTSSB	Tissue enhanced
SPTY2D1	Expressed in all
SPZ1	Tissue enriched
SQRDL	Expressed in all
SQSTM1	Expressed in all
SRA1	Expressed in all
SRBD1	Expressed in all
SRCAP	Expressed in all
SRCIN1	Tissue enhanced
SRD5A3	Expressed in all
SREBF1	Expressed in all
SREBF2	Expressed in all
SREK1	Expressed in all
SREK1IP1	Expressed in all
SRF	Expressed in all
SRFBP1	Expressed in all
SRGAP2	Expressed in all
SRGAP3	Tissue enhanced
SRGN	Expressed in all
SRI	Expressed in all
SRL	Group enriched
SRM	Expressed in all
SRP14	Expressed in all
SRP19	Expressed in all
SRP54	Expressed in all
SRP68	Expressed in all
SRP72	Expressed in all
SRP9	Expressed in all
SRPK1	Expressed in all
SRPK2	Expressed in all
SRPK3	Group enriched
SRPR	Expressed in all
SRPRB	Expressed in all
SRR	Expressed in all
SRRD	Expressed in all
SRRM1	Expressed in all
SRRM2	Expressed in all
SRRM3	Tissue enhanced
SRRM4	Tissue enriched
SRRM5	Tissue enriched
SRRT	Expressed in all
SRSF1	Expressed in all
SRSF10	Expressed in all
SRSF11	Expressed in all
SRSF12	Group enriched
SRSF2	Expressed in all
SRSF3	Expressed in all
SRSF4	Expressed in all
SRSF5	Expressed in all
SRSF6	Expressed in all
SRSF7	Expressed in all
SRSF9	Expressed in all
SRXN1	Expressed in all
SRY	Tissue enhanced
SS18	Expressed in all
SS18L1	Expressed in all
SS18L2	Expressed in all
SSB	Expressed in all
SSBP1	Expressed in all
SSBP2	Expressed in all
SSBP3	Expressed in all
SSBP4	Expressed in all
SSFA2	Expressed in all
SSH1	Expressed in all
SSH2	Expressed in all
SSH3	Expressed in all
SSMEM1	Tissue enriched
SSNA1	Expressed in all
SSR1	Expressed in all
SSR2	Expressed in all
SSR3	Expressed in all
SSR4	Expressed in all
SSRP1	Expressed in all
SSSCA1	Expressed in all
SST	Group enriched
SSTR1	Tissue enhanced
SSTR2	Tissue enhanced
SSTR3	Tissue enhanced
SSU72	Expressed in all
