#GeneName	Tissuespecficity
AP3D1	Expressed in all
AP3M1	Expressed in all
AP3M2	Expressed in all
AP3S1	Expressed in all
AP3S2	Expressed in all
AP4B1	Expressed in all
AP4E1	Expressed in all
AP4M1	Expressed in all
AP4S1	Expressed in all
AP5B1	Tissue enhanced
AP5M1	Expressed in all
AP5S1	Expressed in all
AP5Z1	Expressed in all
APAF1	Expressed in all
APBA1	Tissue enhanced
APBA2	Tissue enhanced
APBA3	Expressed in all
APBB1	Expressed in all
APBB2	Expressed in all
APBB3	Expressed in all
APC	Expressed in all
APC2	Tissue enriched
APCDD1	Tissue enhanced
APCDD1L	Tissue enriched
APCS	Tissue enriched
APEH	Expressed in all
APEX1	Expressed in all
APEX2	Expressed in all
APH1A	Expressed in all
APH1B	Tissue enriched
API5	Expressed in all
APIP	Expressed in all
APITD1	Expressed in all
APITD1-CORT	Tissue enhanced
APLN	Tissue enhanced
APLNR	Tissue enhanced
APLP1	Tissue enriched
APLP2	Expressed in all
APMAP	Expressed in all
APOA1	Group enriched
APOA1BP	Expressed in all
APOA2	Tissue enriched
APOA4	Group enriched
APOA5	Tissue enriched
APOB	Group enriched
APOBEC1	Group enriched
APOBEC2	Group enriched
APOBEC3A	Tissue enhanced
APOBEC3B	Tissue enhanced
APOBEC3C	Expressed in all
APOBEC3G	Expressed in all
APOBEC4	Group enriched
APOC1	Tissue enriched
APOC2	Tissue enriched
APOC3	Tissue enhanced
APOC4	Tissue enriched
APOC4-APOC2	Tissue enriched
APOE	Expressed in all
APOF	Tissue enriched
APOH	Tissue enriched
APOL1	Expressed in all
APOL2	Expressed in all
APOL3	Expressed in all
APOL6	Expressed in all
APOLD1	Tissue enhanced
APOM	Group enriched
APOO	Expressed in all
APOOL	Expressed in all
APOPT1	Expressed in all
APP	Expressed in all
APPBP2	Expressed in all
APPL1	Expressed in all
APPL2	Expressed in all
APRT	Expressed in all
APTX	Expressed in all
AQP1	Expressed in all
AQP10	Group enriched
AQP11	Tissue enhanced
AQP12A	Tissue enriched
AQP12B	Tissue enriched
AQP2	Tissue enriched
AQP3	Tissue enhanced
AQP4	Group enriched
AQP5	Tissue enhanced
AQP6	Tissue enriched
AQP7	Tissue enhanced
AQP8	Group enriched
AQP9	Group enriched
AQPEP	Group enriched
AQR	Expressed in all
AR	Tissue enhanced
ARAF	Expressed in all
ARAP1	Expressed in all
ARAP3	Expressed in all
ARC	Tissue enhanced
ARCN1	Expressed in all
AREG	Tissue enhanced
AREGB	Tissue enhanced
AREL1	Expressed in all
ARF1	Expressed in all
ARF3	Expressed in all
ARF4	Expressed in all
ARF5	Expressed in all
ARF6	Expressed in all
ARFGAP1	Expressed in all
ARFGAP2	Expressed in all
ARFGAP3	Expressed in all
ARFGEF1	Expressed in all
ARFGEF2	Expressed in all
ARFIP1	Expressed in all
ARFIP2	Expressed in all
ARFRP1	Expressed in all
